cite_key,title,year,venue,peer_reviewed,doi_or_url,verification_status,included
Baumann_2021,A modular functional framework for the design and evaluation of multi-robot navigation,2021,Robotics and Autonomous Systems,yes,10.1016/j.robot.2021.103849,verified_doi,yes
de_Jesus_2021,Soft Actor-Critic for Navigation of Mobile Robots,2021,Journal of Intelligent \& Robotic Systems,yes,10.1007/s10846-021-01367-5,verified_doi,yes
Fahmi_2021,A Simulation-Based Study of Maze-Solving-Robot Navigation for Educational Purposes,2021,Journal of Robotics and Control (JRC),yes,10.18196/jrc.v3i1.12241,verified_doi,yes
Heiden_2021,Bench-MR: A Motion Planning Benchmark for Wheeled Mobile Robots,2021,IEEE Robotics and Automation Letters,yes,10.1109/lra.2021.3068913,verified_doi,yes
Hossain_2021,Local path planning for autonomous mobile robots by integrating modified dynamic‐window approach and improved follow the gap method,2021,Journal of Field Robotics,yes,10.1002/rob.22055,verified_doi,yes
Jian_2021,A Global-Local Coupling Two-Stage Path Planning Method for Mobile Robots,2021,IEEE Robotics and Automation Letters,yes,10.1109/lra.2021.3074878,verified_doi,yes
Karur_2021,A Survey of Path Planning Algorithms for Mobile Robots,2021,Vehicles,yes,10.3390/vehicles3030027,verified_doi,yes
Liu_2021,A Lifelong Learning Approach to Mobile Robot Navigation,2021,IEEE Robotics and Automation Letters,yes,10.1109/lra.2021.3056373,verified_doi,yes
Miao_2021,Path planning optimization of indoor mobile robot based on adaptive ant colony algorithm,2021,Computers \& Industrial Engineering,yes,10.1016/j.cie.2021.107230,verified_doi,yes
S_nchez_Ib_ez_2021,Path Planning for Autonomous Mobile Robots: A Review,2021,Sensors,yes,10.3390/s21237898,verified_doi,yes
Tolstaya_2021,Multi-Robot Coverage and Exploration using Spatial Graph Neural Networks,2021,2021 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),yes,10.1109/iros51168.2021.9636675,verified_doi,yes
Xue_2021,Navigation system with SLAM-based trajectory topological map and reinforcement learning-based local planner,2021,Advanced Robotics,yes,10.1080/01691864.2021.1938671,verified_doi,yes
Zhu_2021,Deep reinforcement learning based mobile robot navigation: A review,2021,Tsinghua Science and Technology,yes,10.26599/tst.2021.9010012,verified_doi,yes
Chamzas_2022,MotionBenchMaker: A Tool to Generate and Benchmark Motion Planning Datasets,2022,IEEE Robotics and Automation Letters,yes,10.1109/lra.2021.3133603,verified_doi,yes
Chi_2022,A Generalized Voronoi Diagram-Based Efficient Heuristic Path Planning Method for RRTs in Mobile Robots,2022,IEEE Transactions on Industrial Electronics,yes,10.1109/tie.2021.3078390,verified_doi,yes
Gao_2022,Meeting-Merging-Mission: A Multi-robot Coordinate Framework for Large-Scale Communication-Limited Exploration,2022,2022 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),yes,10.1109/iros47612.2022.9981544,verified_doi,yes
Guo_2022,Obstacle Avoidance With Dynamic Avoidance Risk Region for Mobile Robots in Dynamic Environments,2022,IEEE Robotics and Automation Letters,yes,10.1109/lra.2022.3161710,verified_doi,yes
Gutow_2022,Sparse Integration Schemes for Chance-Constrained Motion Primitive Path Planning,2022,IEEE Robotics and Automation Letters,yes,10.1109/lra.2022.3173045,verified_doi,yes
He_2022,A ROS2-Based Framework for Industrial Automation Systems,2022,"2022 2nd International Conference on Computer, Control and Robotics (ICCCR)",yes,10.1109/icccr54399.2022.9790247,verified_doi,yes
Hewawasam_2022,"Past, Present and Future of Path-Planning Algorithms for Mobile Robot Navigation in Dynamic Environments",2022,IEEE Open Journal of the Industrial Electronics Society,yes,10.1109/ojies.2022.3179617,verified_doi,yes
Li_2022,Global path planning based on a bidirectional alternating search A* algorithm for mobile robots,2022,Computers \& Industrial Engineering,yes,10.1016/j.cie.2022.108123,verified_doi,yes
Liu_2022,A Hybrid Mobile Robot Path Planning Scheme Based on Modified Gray Wolf Optimization and Situation Assessment,2022,Journal of Robotics,yes,10.1155/2022/4167170,verified_doi,yes
Mackay_2022,RL-DOVS: Reinforcement Learning for Autonomous Robot Navigation in Dynamic Environments,2022,Sensors,yes,10.3390/s22103847,verified_doi,yes
Magall_n_Ram_rez_2022,Implementation of NAO Robot Maze Navigation Based on Computer Vision and Collaborative Learning,2022,Frontiers in Robotics and AI,yes,10.3389/frobt.2022.834021,verified_doi,yes
Matsuzaki_2022,Learning Crowd-Aware Robot Navigation from Challenging Environments via Distributed Deep Reinforcement Learning,2022,2022 International Conference on Robotics and Automation (ICRA),yes,10.1109/icra46639.2022.9812011,verified_doi,yes
Nadour_2022,Using flood-fill algorithms for an autonomous mobile robot maze navigation,2022,International Journal of System Assurance Engineering and Management,yes,10.1007/s13198-022-01630-4,verified_doi,yes
Pei_2022,An Improved Dyna-Q Algorithm for Mobile Robot Path Planning in Unknown Dynamic Environment,2022,"IEEE Transactions on Systems, Man, and Cybernetics: Systems",yes,10.1109/tsmc.2021.3096935,verified_doi,yes
Thomas_2022,Safe motion planning with environment uncertainty,2022,Robotics and Autonomous Systems,yes,10.1016/j.robot.2022.104203,verified_doi,yes
Xiao_2022,Motion planning and control for mobile robot navigation using machine learning: a survey,2022,Autonomous Robots,yes,10.1007/s10514-022-10039-8,verified_doi,yes
Xiao_2022_2,Autonomous Ground Navigation in Highly Constrained Spaces: Lessons Learned From the Benchmark Autonomous Robot Navigation Challenge at ICRA 2022 [Competitions],2022,IEEE Robotics \& Automation Magazine,yes,10.1109/mra.2022.3213466,verified_doi,yes
Zhang_2022,H2GNN: Hierarchical-Hops Graph Neural Networks for Multi-Robot Exploration in Unknown Environments,2022,IEEE Robotics and Automation Letters,yes,10.1109/lra.2022.3146912,verified_doi,yes
Zhang_2022b,MR-TopoMap: Multi-Robot Exploration Based on Topological Map in Communication Restricted Environment,2022,IEEE Robotics and Automation Letters,yes,10.1109/lra.2022.3192765,verified_doi,yes
Abdulsaheb_2023,Classical and Heuristic Approaches for Mobile Robot Path Planning: A Survey,2023,Robotics,yes,10.3390/robotics12040093,verified_doi,yes
